movie,budge,gross,comment_count,view_count,like_count,year
The Zookeepers Wife,20000000,26308749,738,1558074,10295,2017
Power Rangers,120000000,142531552,28220,44737885,183761,2017
Life,58000000,100929666,2117,7567018,12404,2017
Life,75000000,73521587,2117,7567018,12404,2017
CHiPS,25000000,23190292,649,6129332,8405,2017
The Belko Experiment,5000000,11792942,1625,2515283,13713,2017
Beauty and the Beast,160000000,1259199706,19251,34130894,252973,2017
Beauty and the Beast,20000000,438707031,19251,34130894,252973,2017
T2: Trainspotting,18000000,42091262,5497,10762354,61882,2017
Kong: Skull Island,185000000,561072059,7489,15048044,65805,2017
Departure,1100000,27561,13,49112,132,2017
Logan,127000000,615461394,32459,30081253,261819,2017
Before I Fall,5000000,18945682,4128,9669759,71291,2017
Table 19,5000000,4620399,516,1612146,8445,2017
Get Out,5000000,255367951,11063,16021938,71732,2017
Rock Dog,60000000,24148488,1316,1939955,6835,2017
Collide,29200000,5466698,876,3430818,8242,2017
Bitter Harvest,21000000,606162,1418,1000648,6295,2017
The Girl with all the Gifts,5250000,4801837,3675,14007575,106159,2017
Fist Fight,25000000,40286416,705,4216362,11355,2017
The Great Wall,150000000,334486852,6811,10123984,27650,2017
In Dubious Battle,15000000,214182,610,1090588,5920,2017
The Lego Batman Movie,80000000,310660018,2970,4539010,37395,2017
Fifty Shades Darker,55000000,381398492,4970,23826466,86059,2017
John Wick: Chapter Two,40000000,171317271,6885,18097504,80156,2017
I Am Not Your Negro,1000000,9617402,935,1333483,9151,2017
The Comedian,15000000,1658706,584,1015616,5394,2017
The Space Between Us,30000000,16481405,3038,5472353,30673,2017
Growing up Smith,2000000,35312,136,387692,2061,2017
Rings,25000000,82917283,565,3042370,7299,2017
Two Lovers and a Bear,6840000,22273,424,751795,3771,2017
A Dogs Purpose,25000000,203671625,0,19510663,146084,2017
Emily,27000,3547,212,606342,5325,2017
Resident Evil: The Final Chapter,40000000,314101190,4057,11484620,43776,2017
The Resurrection of Gavin Stone,2000000,2303792,169,383999,1707,2017
The Founder,15000000,24403192,2489,4732885,17586,2017
xXx: Return of Xander Cage,85000000,345033359,8250,15451484,73616,2017
Split,5000000,278964806,15442,26806693,111273,2017
The Bye Bye Man,7400000,31187727,3562,4997688,18916,2017
Monster Trucks,125000000,61642798,2754,4410280,21090,2017
A Monster Calls,43000000,46414530,5855,8440595,48739,2017
Underworld: Blood Wars,35000000,81209222,1421,5764063,12386,2017
Bodom,1250000,726460,0,628404,1584,2016
Chemical Cut,1000000,0,9,9721,39,2016
Airlift (2016),4400000,9969237,3223,8105785,43849,2016
Paterson,5000000,10727536,761,3261589,11002,2016
Hidden Figures,25000000,231771716,1500,7337538,11147,2016
Live by Night,65000000,21774432,1263,3325637,9754,2016
Silence,46500000,23726626,1974,3631605,14698,2016
Why Him?,38000000,117425156,2311,7696840,31728,2016
Assassins Creed,125000000,240759682,8761,14341137,82581,2016
Sing,75000000,634454789,4713,9111629,42223,2016
Passengers,110000000,302239672,16997,29961711,140219,2016
Patriots Day,40000000,52837989,3400,5742097,12672,2016
Dangal,9500000,294654618,32113,64753268,365767,2016
Rogue One: A Star Wars Story,200000000,1049102856,52682,38334310,302228,2016
Fences,24000000,64282881,2231,4990323,18901,2016
Collateral Beauty,36000000,85309093,4015,11012865,53921,2016
La La Land,20000000,426351163,8213,36080584,136340,2016
Office Christmas Party,45000000,91323299,762,3449266,11229,2016
The Bounce Back,3000000,421404,112,570826,2490,2016
Oddball,7000000,10237229,215,1205391,1880,2016
Incarnate,5000000,9371036,499,2173652,3680,2016
Jackie,9000000,36588512,1418,4351961,13775,2016
Believe,3500000,890303,1073,1288937,12925,2016
Miss Sloane,18000000,7719630,1290,3281648,8837,2016
Lion,12000000,149570720,5184,14957304,84420,2016
Allied,106000000,119266661,1866,6186274,21112,2016
Moana,150000000,637517365,13020,35839529,150889,2016
Rules Dont Apply,26700000,3871448,428,5860482,33035,2016
Fantastic Beasts and Where to Find Them,180000000,802402853,813,2862885,12826,2016
A Street Cat Named Bob,8000000,17382693,1193,2063335,14245,2016
Manchester by the Sea,8500000,77733867,2145,8621004,24108,2016
The Edge of Seventeen,9000000,19096003,817,2761265,25856,2016
Bleed for This,16000000,6603926,2732,7478861,59351,2016
The History of Love,20000000,476624,61,1543504,3541,2016
Nocturnal Animals,22500000,32398681,1930,6845127,20417,2016
Billy Lynns Long Halftime Walk,40000000,30230402,1782,3406366,12496,2016
USS Indianapolis: Men of Courage,40000000,1663785,2140,3525849,11150,2016
Almost Christmas,17000000,42493506,1072,4951630,11033,2016
Arrival,47000000,203127894,13865,20624506,95049,2016
Shut In,10000000,11360665,586,4193556,4409,2016
Doctor Strange,165000000,676404566,28653,40125570,257664,2016
Trolls,125000000,344150134,4202,13848432,54443,2016
Loving,9000000,12898064,2421,3242914,26363,2016
Hacksaw Ridge,40000000,168904682,12465,20900372,104710,2016
Reign of Assassins,14000000,11354230,32,481675,406,2016
A.C.O.R.N.S.: Operation Crackdown,8500000,1353287,0,0,0,2016
Inferno,75000000,219519367,2421,11953280,25750,2016
Moonlight,1500000,65245512,6989,15837472,52031,2016
Jack Reacher: Never Go Back,60000000,159946489,3351,11362214,40314,2016
Ouija: Origin of Evil,9000000,81831866,3720,6954828,18701,2016
Im Not Ashamed,1500000,2082980,2221,1212363,9983,2016
31,1500000,922727,977,1769656,5879,2016
Tyler Perrys Boo! A Madea Halloween,20000000,73206343,8851,6818496,57157,2016
Mi America,2100000,3330,2,7194,9,2016
The Accountant,40000000,152962083,4077,10768558,34656,2016
Kevin Hart: What Now?,10000000,23591043,869,2561586,15086,2016
Max Steel,10000000,4563080,16433,33810034,131832,2016
The Girl on the Train,45000000,174278214,1521,4306185,12158,2016
Middle School: The Worst Years of My Life,8500000,23311293,2758,5280553,36901,2016
The Birth of a Nation,10000000,16891011,4148,2542492,8491,2016
The Birth of a Nation,110000,11000000,4148,2542492,8491,2016
Miss Peregrines Home for Peculiar Children,110000000,295986876,11177,14946326,87680,2016
American Honey,3500000,2611750,1171,3488022,11274,2016
Denial,10000000,9263940,2631,1405930,6948,2016
Deepwater Horizon,156000000,122603824,1986,5712913,13226,2016
Queen of Katwe,15000000,10055481,1756,3016341,16694,2016
The Dressmaker,11900000,24041617,466,1588451,9647,2016
The Magnificent Seven,90000000,162525156,4030,12294396,25979,2016
Storks,70000000,183353431,2674,6695951,28214,2016
Bridget Joness Baby,35000000,205822688,1617,6352588,9454,2016
Snowden,50000000,35380918,1750,2518967,18308,2016
Blair Witch,10000000,38985577,3416,1123498,28536,2016
When the Bough Breaks,10000000,30768449,796,4185775,7712,2016
Robinson Crusoe,13000000,42446455,98,963016,999,2016
The Disappointments Room,15000000,3503761,1063,2820990,5884,2016
Kicks,10000000,150191,957,1158308,9498,2016
Sully,60000000,238524556,8470,15834093,59137,2016
Antibirth,2500000,0,46,108913,544,2016
Yoga Hosers,5000000,22958,1275,1838968,7378,2016
Morgan,8000000,7298786,2126,6261623,12827,2016
The Light Between Oceans,20000000,22281732,329,1228607,4405,2016
Greater,9000000,2000093,207,824026,2573,2016
Mechanic: Resurrection,40000000,109738840,1731,10217896,33793,2016
Dont Breathe,10000000,158973685,10730,26021185,81164,2016
Hands of Stone,20000000,5031975,308,571576,1653,2016
Kubo and the Two Strings,55000000,77548122,560,3662570,6660,2016
Ben-Hur,95000000,91669648,4140,8187245,16452,2016
Ben-Hur,15000000,73259017,4140,8187245,16452,2016
War Dogs,50000000,86234503,2734,11890399,29450,2016
Sausage Party,19000000,141344255,7094,12058211,52807,2016
Florence Foster Jenkins,29000000,56000339,583,1966924,7064,2016
Hell or High Water,12000000,37584304,1073,5980146,9786,2016
Petes Dragon,65000000,137768975,4379,10725521,34095,2016
Petes Dragon,10000000,36000000,4379,10725521,34095,2016
Suicide Squad,175000000,746059887,80877,88265995,683720,2016
Operation Chromite,12700000,49196532,356,1532092,2714,2016
Jason Bourne,120000000,416168316,3020,11210502,34366,2016
The Land,1000000,43756,615,674041,5484,2016
Bad Moms,20000000,180998716,2290,14882196,19824,2016
Nerve,20000000,70652284,12418,34479307,176485,2016
Star Trek Beyond,185000000,335802233,3495,4313284,23556,2016
Dont Think Twice,3000000,4417983,204,1283452,2210,2016
Ice Age: Collision Course,105000000,402156682,2339,6465922,14890,2016
Lights Out,5000000,148806510,9745,22377033,76123,2016
Fight Valley,20000000,0,62,115638,220,2016
Hillarys America: The Secret History of the Democratic Party,5000000,13099931,918,400289,7555,2016
Ghostbusters,144000000,229008658,263926,45642090,307122,2016
Ghostbusters,30000000,295212467,263926,45642090,307122,2016
The Infiltrator,47500000,20718104,1256,4150838,10963,2016
Mike and Dave Need Wedding Dates,33000000,75898100,1197,8054459,19721,2016
The Dog Lover,2000000,0,74,155817,325,2016
The Secret Life of Pets,75000000,886614798,1910,9890339,25804,2016
Sultan,11000000,72989781,18202,43662640,219338,2016
The Legend of Tarzan,180000000,348902025,5258,14688333,53386,2016
The BFG,140000000,199646680,6025,9323357,30912,2016
The Purge: Election Year,10000000,118514727,8771,9474256,37215,2016
Independence Day: Resurgence,165000000,384169424,15035,26701694,95316,2016
The Neon Demon,7500000,3559803,4442,9800274,38442,2016
Hunt for the Wilderpeople,2500000,23845533,439,1786623,6315,2016
The Shallows,13000000,118763442,10821,22038239,73344,2016
Free State of Jones,50000000,23237252,1935,5646547,7383,2016
Swiss Army Man,3000000,5837111,10422,17829817,73137,2016
Finding Dory,200000000,1021215193,1609,5083123,23541,2016
Central Intelligence,50000000,217194805,982,5037778,24316,2016
The Conjuring 2: The Enfield Poltergeist,40000000,311262102,7962,26762163,86551,2016
Now You See Me 2,90000000,328325007,2924,9631658,50010,2016
Genius,17000000,7265283,11501,27480978,172978,2016
Warcraft,160000000,425522281,24563,25692873,131370,2016
Popstar: Never Stop Never Stopping,20000000,9537120,890,2406436,11418,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,245328374,3831,5597838,28841,2016
The Fits,170000,169242,35,150045,405,2016
Time to Choose,3500000,29233,19,25202,265,2016
Me Before You,20000000,208265198,10431,25520441,156400,2016
Alice Through the Looking Glass,170000000,276928112,4814,10233307,55644,2016
X-Men: Apocalypse,178000000,542537546,19307,20662595,130589,2016
Une Femme Marie,120000,0,5,44981,179,2016
The Angry Birds Movie,73000000,352327887,587,17126504,38414,2016
The Nice Guys,50000000,59596747,1071,8452640,17690,2016
Neighbors 2: Sorority Rising,35000000,108757621,1905,10282386,48068,2016
Money Monster,27000000,93466095,859,2379532,8456,2016
The Darkness,4000000,10898293,1813,5011859,10934,2016
Captain America: Civil War,250000000,1140069413,12545,28597183,103509,2016
Code of Honor,8000000,0,169,461042,623,2016
Dheepan,9000000,7704357,17,88429,335,2016
Keanu,15000000,20688141,490,2719063,9205,2016
Mothers Day,25000000,52367022,2284,11106215,42815,2016
The Man Who Knew Infinity,10000000,12382122,8185,14833097,140197,2016
Ratchet and Clank,20000000,14365639,6841,4799520,32191,2016
The Meddler,3200000,5526942,124,1037088,3093,2016
Compadres,3000000,7445044,244,1064925,3162,2016
A Hologram for the King,35000000,11846010,3392,3957089,10640,2016
Unsullied,1500000,510957,28,55633,83,2016
The Huntsman: Winters War,115000000,165149302,3770,8099129,33216,2016
The Jungle Book,175000000,962854547,3082,8291182,32144,2016
The Jungle Book,27000000,44342956,3082,8291182,32144,2016
Green Room,5000000,3807503,757,1318619,3863,2016
I Am Wrath,18000000,309608,850,1470255,3586,2016
Criminal,31500000,38771262,506,3655789,4367,2016
Barbershop: The Next Cut,20000000,54404202,1294,3911640,13081,2016
Hardcore Henry,2000000,17187434,8433,19498334,68349,2016
The Boss,29000000,78652207,1568,7855566,31915,2016
The Invitation,1000000,354836,1356,3299144,4296,2016
Hush,1000000,0,4387,9240900,27008,2016
Gods Not Dead 2,5000000,23551286,16858,3393814,21163,2016
Meet the Blacks,900000,9097072,3355,7861769,34787,2016
Everybody Wants Some,10000000,5437126,854,2847210,7226,2016
Everybody Wants Some,10000000,5437126,854,2847210,7226,2016
Batman v Superman: Dawn of Justice,250000000,867500281,7482,11794706,54111,2016
Batman v Superman: Dawn of Justice,250000000,867500281,7482,11794706,54111,2016
My Big Fat Greek Wedding 2,18000000,92096558,848,5098536,7924,2016
My Big Fat Greek Wedding 2,18000000,92096558,848,5098536,7924,2016
The Lobster,4500000,18019834,744,2034004,9360,2016
The Lobster,4500000,18019834,744,2034007,9360,2016
Krisha,30000,144822,110,300438,863,2016
Krisha,30000,144822,110,300440,863,2016
The Bronze,3500000,615816,315,1030646,2651,2016
The Bronze,3500000,615816,315,1030647,2651,2016
The Divergent Series: Allegiant,110000000,172022517,4788,8423144,34156,2016
The Divergent Series: Allegiant,110000000,172022517,4788,8423148,34156,2016
Midnight Special,18000000,7680250,907,3804897,8443,2016
Midnight Special,18000000,7680250,907,3804902,8443,2016
Miracles from Heaven,13000000,73798736,5340,9471930,57030,2016
Miracles from Heaven,13000000,73798736,5340,9471946,57030,2016
The Hatching,5000000,0,1,3949,13,2016
The Hatching,5000000,0,1,3949,13,2016
"Hello, My Name is Doris",1000000,14662703,796,2979825,13958,2016
"Hello, My Name is Doris",1000000,14662703,796,2979825,13958,2016
10 Cloverfield Lane,5000000,108286422,6791,10153984,34211,2016
10 Cloverfield Lane,5000000,108286422,6791,10153987,34211,2016
The Perfect Match,5000000,10182050,1146,6948995,25993,2016
The Perfect Match,5000000,10182050,1146,6948995,25993,2016
The Young Messiah,16800000,7313697,3711,2306946,8230,2016
Eye in the Sky,13000000,35402802,1481,3834842,7297,2016
Creative Control,1000000,63014,114,269638,478,2016
The Brothers Grimsby,35000000,28720470,1145,7089057,17471,2016
Out of the Inferno,19000000,0,1,8693,21,2016
Savva. Serdtse voyna,30000000,5015080,4,22579,52,2016
London Has Fallen,60000000,195194085,6075,14009995,38774,2016
Whiskey Tango Foxtrot,35000000,25350747,853,2650781,10156,2016
They Will Have to Kill Us First,600000,7943,13,62228,324,2016
Zootopia,150000000,1019429616,11209,21749680,75759,2016
The Other Side of the Door,5000000,12905107,1464,4783968,10860,2016
1982,1000000,0,1791,4657349,11690,2016
Triple 9,20000000,25943792,942,6571649,12045,2016
Eddie the Eagle,23000000,45060480,697,5173638,9972,2016
Gods of Egypt,140000000,138836756,23380,25600850,69685,2016
Forsaken,18000000,0,15420,3116499,62904,2016
Race,5000000,23745772,400,791295,2192,2016
Risen,20000000,46255763,3183,2748753,6695,2016
Mei Ren Yu,60720000,554516671,11,156989,133,2016
The Witch,3500000,40454520,5832,16838047,43343,2016
Deadpool,58000000,801025593,5817,34511435,123883,2016
Zoolander 2,50000000,55348693,8855,21940413,83600,2016
The Little Prince,77500000,102028919,3549,5115737,40676,2016
How to be Single,37000000,100003780,1733,9325154,42888,2016
Pride and Prejudice and Zombies,28000000,16638300,3587,9719575,32772,2016
Misconduct,11000000,2352511,303,1692483,3016,2016
"Hail, Caesar!",22000000,64160680,2255,10793239,22415,2016
Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,60000000,194058503,2,48524,17,2016
The Rise of the Krays,2500000,0,352,776068,527,2016
Jane Got a Gun,25000000,3771345,378,776631,3355,2016
Fifty Shades of Black,5000000,22113075,6306,17415544,91675,2016
Kung Fu Panda 3,140000000,517599142,1752,25282288,91495,2016
The Finest Hours,70000000,49252761,1000,8293223,9624,2016
The 5th Wave,38000000,111336398,7191,17181961,62878,2016
Zhuo yao ji,56000000,359495591,307,1896997,6517,2016
The Boy,10000000,68220952,6953,14995135,52702,2016
Dirty Grandpa,11500000,105078449,2093,14482006,46437,2016
Yip Man 3,36000000,157300954,491,2277900,5281,2016
Eden,2300000,0,322,658421,1364,2016
Sharkskin,2100000,0,2,730,4,2016
13 Hours: The Secret Soldiers of Benghazi,50000000,69411370,3727,6394274,14997,2016
The Lady in the Van,6000000,42320503,448,1719140,6604,2016
Ride Along 2,40000000,124827316,2579,14863533,48871,2016
Norm of the North,18000000,30535660,0,2382637,0,2016
The Masked Saint,3500000,182695,8,49350,139,2016
The Forest,10000000,40749230,2644,6716059,20913,2016
Adulterers,750000,0,218,393836,989,2016
